Year,Month,Day,Period,Load (MW),,Node2_Load_BAU
2009,1,12,21,1017.3207,,
2009,1,12,22,957.734025,,
2009,1,12,23,887.5277167,,
2009,1,12,24,800.33705,,
2009,1,13,1,759.7901333,,
2009,1,13,2,671.1490417,,
2009,1,13,3,613.80275,,
2009,1,13,4,583.1002667,,
2009,1,13,5,567.2200958,,
2009,1,13,6,563.504875,,
2009,1,13,7,579.4984042,,
2009,1,13,8,653.7237458,,
2009,1,13,9,806.2806417,,
2009,1,13,10,875.3043667,,
2009,1,13,11,917.8137417,,
2009,1,13,12,929.8754833,,
2009,1,13,13,932.2044417,,
2009,1,13,14,938.0216583,,
2009,1,13,15,917.0957125,,
2009,1,13,16,915.5499125,,
2009,1,13,17,931.1280042,,
2009,1,13,18,993.8060708,,
2009,1,13,19,1118.189354,,
2009,1,13,20,1100.645975,,
2009,1,13,21,1035.305812,,
2009,1,13,22,970.3221125,,
2009,1,13,23,885.5900958,,
2009,1,13,24,794.1458458,,
2009,1,14,1,748.5713208,,
2009,1,14,2,660.7998125,,
2009,1,14,3,590.6568583,,
2009,1,14,4,553.2691792,,
2009,1,14,5,540.3314375,,
2009,1,14,6,536.8689375,,
2009,1,14,7,543.143475,,
2009,1,14,8,615.83195,,
2009,1,14,9,791.2812792,,
2009,1,14,10,859.6981042,,
2009,1,14,11,894.2627583,,
2009,1,14,12,906.43535,,
2009,1,14,13,917.4272,,
2009,1,14,14,927.0432417,,
2009,1,14,15,920.3902958,,
2009,1,14,16,924.3754792,,
2009,1,14,17,945.8738167,,
2009,1,14,18,1011.952225,,
2009,1,14,19,1113.583142,,
2009,1,14,20,1080.971733,,
2009,1,14,21,1017.873279,,
2009,1,14,22,956.8683792,,
2009,1,14,23,887.0076875,,
2009,1,14,24,804.1477292,,
